# rows=140 credits=26729 margin=35.241635 source=Vertov_Pricing_Model_v14 2026-08-14 ред.22 sha256_16=4a945faf95385d54 cols_sha16=da54ec1b730a358b
# LEGS
model_id,rung,mode,audio,quality,leg,Роль,ПОСРЕДНИК,АПСТРЕМ,SKU у поставщика,Канал,Множ.,База тарификации,$ за ед.,Landed ₽/ед,Себест ₽,Себест известна,ДОСТОВЕРНОСТЬ,Кредитов,Маржа ноги,ГЛУБИНА ЛЕСТНИЦЫ,Источник,Дата ISO,Количество,aspect,refs_min,refs_max,цена_в_полосе,доплата_$_за_картинку,КЛЮЧ конфигурации,КЛЮЧ строки,РИСК МАРШРУТА,ступень_по_умолчанию,площадь_МП
veo-3-1,720p,t2v,да,,1,основная,Kie,Google,veo-3-1,прямой,1.1839,за клип,1.25,100.6315,125.79,да,HIGH — бенчмарк Syntx подтверждён владельцем 03.08.2026,597,0.36365,1,Сетка FX стр.9,2026-08-11,1,any,0,0,плоская,0,veo-3-1|720p|t2v|да|-|any,veo-3-1|720p|t2v|да|-|any|нога1,,1080p,
veo-3-1,1080p,t2v,да,,1,основная,Kie,Google,veo-3-1,прямой,1.1839,за клип,1.275,100.6315,128.31,да,HIGH — бенчмарк Syntx подтверждён владельцем 03.08.2026,597,0.350923,1,Сетка FX стр.10,2026-08-11,1,any,0,0,плоская,0,veo-3-1|1080p|t2v|да|-|any,veo-3-1|1080p|t2v|да|-|any|нога1,,1080p,
veo-3-1-fast,720p,t2v,да,,1,основная,Kie,Google,veo-3-1,прямой,1.1839,за клип,0.3,100.6315,30.19,да,HIGH — бенчмарк Syntx подтверждён владельцем 03.08.2026,122,0.252654,1,Сетка FX стр.11,2026-08-11,1,any,0,0,плоская,0,veo-3-1-fast|720p|t2v|да|-|any,veo-3-1-fast|720p|t2v|да|-|any|нога1,,720p,
veo-3-1-fast,1080p,t2v,да,,1,основная,Kie,Google,veo-3-1,прямой,1.1839,за клип,0.325,100.6315,32.71,да,HIGH — бенчмарк Syntx подтверждён владельцем 03.08.2026,132,0.25171,1,Сетка FX стр.12,2026-08-11,1,any,0,0,плоская,0,veo-3-1-fast|1080p|t2v|да|-|any,veo-3-1-fast|1080p|t2v|да|-|any|нога1,,720p,
veo-3-1-lite,720p,t2v,да,,1,основная,Kie,Google,veo-3-1,прямой,1.1839,за клип,0.15,100.6315,15.09,да,HIGH — бенчмарк Syntx подтверждён владельцем 03.08.2026,66,0.309271,1,Сетка FX стр.13,2026-08-11,1,any,0,0,плоская,0,veo-3-1-lite|720p|t2v|да|-|any,veo-3-1-lite|720p|t2v|да|-|any|нога1,,720p,
veo-3-1-lite,1080p,t2v,да,,1,основная,Kie,Google,veo-3-1,прямой,1.1839,за клип,0.175,100.6315,17.61,да,HIGH — бенчмарк Syntx подтверждён владельцем 03.08.2026,71,0.2509,1,Сетка FX стр.14,2026-08-11,1,any,0,0,плоская,0,veo-3-1-lite|1080p|t2v|да|-|any,veo-3-1-lite|1080p|t2v|да|-|any|нога1,,720p,
seedance-2-0,4K,t2v,нет,,1,основная,Kie,ByteDance,seedance-2-0,прямой,1.1839,за секунду,1.04,100.6315,523.28,да,HIGH — ставки платно подтверждены; имена посредников исправлены 10.08.2026 (были переставлены),2108,0.25029,1,Сетка FX стр.15,2026-08-11,5,any,0,0,плоская,0,seedance-2-0|4K|t2v|нет|-|any,seedance-2-0|4K|t2v|нет|-|any|нога1,,480p,
seedance-2-0,1080p,t2v,нет,,1,основная,OpenRouter,ByteDance,seedance-2-0,OpenRouter,1.2492,за секунду,0.34,106.182,180.51,да,HIGH,775,0.296564,2,Сетка FX стр.16,2026-08-11,5,any,0,0,плоская,0,seedance-2-0|1080p|t2v|нет|-|any,seedance-2-0|1080p|t2v|нет|-|any|нога1,,480p,
seedance-2-0,1080p,t2v,нет,,2,резервная,Kie,ByteDance,seedance-2-0,прямой,1.1839,за секунду,0.51,100.6315,256.61,да,HIGH,775,3E-006,2,Сетка FX стр.16,2026-08-11,5,any,0,0,плоская,0,seedance-2-0|1080p|t2v|нет|-|any,seedance-2-0|1080p|t2v|нет|-|any|нога2,,480p,
seedance-2-0,720p,t2v,нет,,1,основная,OpenRouter,ByteDance,seedance-2-0,OpenRouter,1.2492,за секунду,0.151,106.182,80.17,да,HIGH,323,0.250414,2,Сетка FX стр.17,2026-08-11,5,any,0,0,плоская,0,seedance-2-0|720p|t2v|нет|-|any,seedance-2-0|720p|t2v|нет|-|any|нога1,,480p,
seedance-2-0,720p,t2v,нет,,2,резервная,Kie,ByteDance,seedance-2-0,прямой,1.1839,за секунду,0.205,100.6315,103.15,да,HIGH,323,0.035546,2,Сетка FX стр.17,2026-08-11,5,any,0,0,плоская,0,seedance-2-0|720p|t2v|нет|-|any,seedance-2-0|720p|t2v|нет|-|any|нога2,,480p,
